level,sentence
1,저는 비싼 음식을 먹어요
1,나는 비싼 음식을 좋아해
1,저는 비싼 음식을 좋아해요
1,비싼 음식은 맛있어
1,비싼 음식은 맛있어요
1,나는 작은 집에 가
1,저는 작은 집에 가요
1,나는 큰 차를 원해
1,저는 큰 차를 원해요
1,나는 잘생긴 남자를 만나
1,저는 잘생긴 남자를 만나요
1,나는 많은 돈이 있어
1,저는 많은 돈이 있어요
1,나는 뚱뚱한 학생을 만나
1,저는 뚱뚱한 학생을 만나요
1,나는 작은 집에 가
1,저는 작은 집에 가요
1,그 집은 작아
1,그 집은 작아요
1,나는 큰 차를 원해
1,저는 큰 차를 원해요
1,이 차는 커
1,이 차는 커요
1,남자는 음식을 먹어
1,남자는 음식을 먹어요
1,행복한 여자는 작은 차 안에 있어
1,행복한 여자는 작은 차 안에 있어요
1,그 남자는 재미있는 남자야
1,그 남자는 재미있는 남자예요
1,나는 맛있는 음식을 먹어
1,저는 맛있는 음식을 먹어요
1,나는 많은 음식을 먹어
1,저는 많은 음식을 먹어요
1,나는 많은 돈이 있어
1,저는 많은 돈이 있어요
1,나는 많은 아내가 있어
1,저는 많은 아내가 있어요
1,사람이 많아
1,사람이 많아요
1,음식이 많아
1,음식이 많아요
1,나도 한국어를 말해
1,저
1,나는 한국어도 말해
1,저는 한국어
1,나도 사과를 먹어
1,저도 사과를 먹어요
1,나는 사과도 먹어
1,저는 사과도 먹어요
1,나도 그것을 알아
1,저도 그것을 알아요
1,나도 피곤해
1,저도 피곤해요
1,나의 딸도 행복해
1,저의 딸도 행복해요
1,저는 
1,나는 항상 저녁에 음식을 먹어
1,나는 나의 선생님을 항상 봐
1,나는 항상 아침에 운동해
1,저는 항상 저녁에 음식을 먹어요
1,저는 저의 선생님을 항상 봐요
1,저는 항상 아침에 운동해요
1,저는 항상 저녁에 음식을 먹습니다
1,저는 저의 선생님을 항상 봅니다
1,저는 항상 아침에 운동합니다
1,나는 먹었어
1,나는 들어봤어
1,나는 운동했어
1,저는 먹었어요
1,저는 들어봤어요
1,저는 운동했어요
1,저는 먹었습니다
1,저는 들어봤습니다
1,저는 운동했습니다
1,나는 먹겠어
1,나는 배우겠어
1,저는 먹겠어요
1,저는 배우겠어요
1,저는 먹겠습니다
1,저는 배우겠습니다
1,나는 집을 지어
1,저는 집을 지었어요
1,저는 웃었어요
1,저는 저의 옷을 벗었어요
1,저는 저의 손을 씻었어요
1,저는 걸어요
1,저는 걸었어요
1,돈을 받았어요
1,저는 저의 강아지를 묻었어요
1,저는 문을 닫았어요
1,그것은 쉬워
1,그것은 어려워요
1,그 여자는 귀여워요
1,저는 저의 어머니를 도왔어요
1,사과는 크다
1,나는 큰 사과를 좋아한다
1,저는 귀여운 여자를 좋아해요
1,저는 쉬운 일을 했어요
1,나는 부드러운 손이 있어
1,저는 추운 날씨를 좋아해요
1,그 여자는 아름다워요
1,그 학교는 새로워요
1,그것은 새로운 학교예요
1,이 방은 좁아요
1,저는 공을 잡았어요
1,이 방은 넓어요
1,저는 문을 잠갔어요
1,저는 바빠요
1,그 여자는 예뻐요
1,저는 아주 슬퍼요
1,그 집은 커요
1,저는 머리를 긁었어요
1,저는 쥐를 들었어요
1,그것은 달라요
1,그 남자는 빨라요
1,저는 저의 누나를 불렀어요
1,저는 긴 거리를 건넜어요
1,저는 먼 병원에 갔어요
1,나는 케이크를 만든다
1,저는 집에 갑니다
1,저는 밥을 먹습니다
1,그 여자는 예쁩니다
1,이 방은 넓습니다
1,저는 문을 엽니다
1,저는 케이크를 만듭니다
1,그 병원은 멉니다
1,그 여자의 머리카락은 깁니다
1,저는 병원을 지었어요
1,저는 병원에 갔어요
1,저는 병원을 공원 옆에 지었어요
1,저는 화요일에 가겠어요
1,저는 저녁에 공부했어요
1,저는 가을에 공원 옆에 병원을 지었어요
1,여름에 저는 공부하겠어요
1,저는 한국에 오늘 도착했어요
1,저는 도서관에 어제 갔어요
1,저는 내일 한국어를 공부하겠어요
1,저는 저의 친구를 자주 만나요
1,저는 밥을 많이 먹었어요
1,저는 집에 바로 갔어요
1,저는 숙제를 빨리 했어요
1,저는 많은 밥을 먹었어요
1,저는 밥을 많이 먹었어요
1,저는 조용하게 먹었어요
1,저는 거리를 안전하게 건넜어요
1,저는 행복하게 살았어요
1,저는 매우 빨리 달렸어요
1,저는 빨리 먹었어요
1,저는 바로 떠났어요
1,저는 저의 친구를 목요일에 자주 만나요
1,저는 가끔 너무 많이 먹어요
1,그 여자는 안 예뻐요
1,저는 생선을 안 좋아해요
1,저는 내일 학교에 안 가겠어요
1,그 여자는 예쁘지 않아요
1,저는 생선을 좋아하지 않아요
1,저는 내일 학교에 가지 않겠어요
1,저는 공부를 안 했어요
1,저는 실수를 안 했어요
1,저는 여행을 안 했어요
1,저는 공부하지 않았어요
1,저는 공부를 하지 않았어요
1,저는 실수하지 않았어요
1,저는 실수를 하지 않았어요
1,저는 여행하지 않았어요
1,저는 여행을 하지 않았어요
1,저는 안 행복해요
1,저는 행복하지 않아요
1,저는 밥을 천천히 먹었어요
1,저는 선생님이 아니에요
1,나는 너의 친구가 아니야
1,저는 대학생이 아니에요
1,저는 돈이 없어요
1,저는 시간이 없어요
1,우리는 차가 없어요
1,저의 친구는 지금 한국에 없어요
1,사람이 없었어요
1,저는 과일을 싫어해요
1,저는 과일을 좋아해요
1,그 선생님은 좋다
1,이 학교는 좋다
1,저는 과일이 싫어요
1,나는 좋은 학생이야
1,그것은 책이야
1,나는 선생님이야
1,이것은 여권이야
1,그것은 사과야
1,나는 의사야
1,야구는 좋은 스포츠야
1,나는 학생이 아니야
1,그것은 책이 아니야
1,그것은 사진이에요
1,저는 선생님이에요
1,저는 좋은 학생이에요
1,이 사람은 저의 누나예요
1,저는 의사예요
1,저것은 사과예요
1,저는 학생이 아니에요
1,저는 의사입니다
1,그 사람은 저의 형입니다
1,저는 선생님입니다
1,저는 좋은 학생입니다
1,이 고기는 돼지고기입니다
1,저는 의사가 아닙니다
1,저는 학생이 아닙니다
1,그것은 저의 직업이 아닙니다
1,그것은 저의 여권이 아닙니다
1,그 건물은 극장이 아닙니다
1,나는 바쁜 선생님이었어
1,나는 학생이었어
1,나는 선생님이었어
1,나는 나쁜 애기였어
1,나는 나쁜 의사였어
1,그것은 큰 비밀이었어요
1,저는 선생님이었어요
1,저는 의사였어요
1,저는 나쁜 애기였어요
1,나는 선생님이었다
1,나는 의사였다
1,저는 선생님이었습니다
1,저는 의사였습니다
1,나는 학생이 아니었어
1,나는 학생이 아니었다
1,저는 학생이 아니었어요
1,저는 학생이 아니었습니다
1,저는 밥을 먹을 것이에요
1,저는 밥을 먹을 거예요
1,나는 내일 친구를 만날 것이야
1,나는 내일 친구를 만날 거야
1,저는 내일 학교에 갈 것입니다
1,저는 영어를 공부할 거예요
1,저는 문을 열 거예요
1,저는 곧 선생님이 될 것입니다
1,저는 곧 선생님일 거예요
1,나는 미래에 의사가 될 거야
1,나는 미래에 의사일 거야
1,한국이 곧 좋은 나라가 될 것이다
1,한국이 곧 좋은 나라일 것이다
1,이 장소는 공원이 될 것이다
1,이 장소는 공원일 것이다
1,그 사람이 의사일 거예요
1,그것은 여권일 거예요
1,문제는 돈일 거예요
1,그 사람이 의사가 아닐 거야
1,그것은 여권이 아닐 거야
1,문제는 돈이 아닐 거야
1,저는 내일 한국에 
1,저는 
1,첫 번째
1,저의 
1,두 번째
1,그 
1,몇 살이에요?
1,사람 두 명
1,사람 한 명
1,펜 다섯 개
1,펜 마흔네 개
1,두 명의 사람
1,한 명의 사람
1,다섯 개의 펜
1,마흔네 개의 펜
1,나는 펜 네 개를 샀어
1,나는 햄버거 두 개를 먹었어
1,나는 어제 친구 다섯 명을 만났어
1,나는 네 개의 펜을 샀어
1,나는 두 개의 햄버거를 먹었어
1,나는 어제 다섯 명의 친구를 만났어
1,그 사람은 차 네 대가 있어요
1,저는 우유 두 잔을 샀어요
1,저는 땅콩 두 개를 먹었어요
1,저는 어제 학교에 세 번 갔어요
1,저는 그 영화를 다섯 번 봤어요
1,저는 오늘 두 번 운동할 것입니다
1,저는 어제 고기를 두 번 먹었어요
1,저는 오늘 축구를 네 번 할 거예요
1,2시 30분
1,두 시 삼십 분
1,2시 30분
1,3시 10분
1,세 시 십 분
1,12시 50분
1,열두 시 오십 분
1,나는 5시에 먹을 거야
1,나는 2시 30분에 왔어
1,우리는 야구를 1시에 할 거예요 
1,우리는 7시 20분에 시작할 거예요
1,저는 열 살이에요
1,저의 여자 친구는 스물여섯 살이에요
1,몇 살이에요?
1,저의 첫 번째 친구는 착했어요
1,저는 첫 번째 차를 싫어했어요
1,그 두 번째 선생님은 똑똑했어요
1,저는 두 번째 남자를 골랐어요
1,이 여권은 저의 세 번째 여권이에요
1,저는 세 번째 문을 열었어요
1,저는 네 번째 사람이었어요
1,이 아이는 저의 네 번째 아들이에요
1,이 수업은 오늘 저의 열 번째 수업입니다
1,저는 백 번째 페이지를 읽었어요
1,우리 둘째 아들은 고등학생이에요
1,우리 셋째 아이는 야구를 좋아해요
1,이 아이는 우리 첫째 아들이에요
1,우리 둘째는 고등학생이에요
1,우리 셋째는 야구를 좋아해요
1,이 아이는 우리 첫째예요
1,이것은 저의 마지막 수업이에요
1,저는 마지막 것을 안 봤어요
1,처음에 그 여자를 싫어했어요
1,저는 처음에 체육 수업을 싫어했어요
1,저는 어제 선생님을 처음 만났어요
1,저는 내일 한국에 처음 갈 것입니다
1,상황 
1,복습하다 
1,다음 버스는 저 정류장에서 
1,저는 서울역에서 
1,완전히 
1,아침식사를 안 먹었어요
1,나는 사과를 샀어
1,나는 사과 한 개를 샀어
1,나는 사과 한 개를 샀어
1,나는 사과 몇 개를 샀어
1,나는 몇 개의 펜을 샀어
1,나는 몇 명의 사람을 만났어
1,나는 학교에 몇 번 갔어
1,의사들은 돈이 많아
1,선생님은 내일 학생들을 만날 거야
1,배우들은 그들의* 영화를 보통 좋아하지 않아
1,나는 물만 마셔
1,나만 그 여자를 좋아해
1,나는 그 여자만 좋아해
1,나만 사과를 샀어
1,나는 사과만 샀어
1,나는 사과 한 개만 샀어
1,저는 차 두 대만 있어요
1,저는 친구 한 명만 만났어요
1,저는 공부만 했어요
1,저는 어제 일만 했어요
1,우리는 학교에만 갔어요
1,학생들은 교실 안에만 있어요
1,저는 밤에만 운동해요
1,저는 커피를 낮에만 마셔요
1,저는 그 여자를 그때만 사랑했어요
1,저는 학교에서 공부할 거예요
1,저는 저의 친구를 병원에서 봤어요
1,저는 남편을 공원에서 만날 거예요
1,저는 한국어를 한국에서 배웠어요
1,저는 방에서 탁자에 병을 놓았어요
1,저는 한국에서 갈 거예요
1,과일은 비싸요
1,과일은 한국에서 비싸요
1,저는 학교에서 추웠어요
1,고등학교는 한국에서 어려워요
1,녹차는 한국에서 유명해요
1,저는 집에 있어요
1,저는 차 안에 있어요
1,저는 한국에서 갈 거예요
1,다음 버스는 저 정류장에서 출발할 거예요
1,저는 서울역에서 내릴 거예요
1,학생은 교실에서 나왔어요
1,저는 캐나다에서 왔어요
1,3시까지 기다릴 거예요
1,그 여자를 지금까지 좋아했어요
1,저는 그 회사에서 5월까지 일할 거예요
1,저는 그때까지 김치를 먹지 않았어요
1,저는 오늘 이 책을 여기까지 읽었어요
1,저는 한강까지 달렸어요
1,나는 인천에서 서울까지 갈 거야
1,나는 인천부터 서울까지 갈 거야
1,다음 버스는 저 정류장에서 출발할 거예요
1,저는 어제부터 아팠어요
1,저는 내일부터 한국어를 공부할 거예요
1,내년부터 우리는 서울에서 살 거예요
1,저는 3시부터 학교에 있을 거예요
1,저는 작년부터 한국어를 배웠어요
1,저는 아침부터 밤까지 공부만 했어요
1,나는 캐나다에 1일부터 8일까지 있을 거야
1,그들은 저를 처음부터 싫어했어요
1,우리는 그 일을 처음부터 시작할 거예요
1,저는 그 상황을 처음부터 끝까지 몰랐어요
1,저는 그것을 처음부터 끝까지 복습했어요
1,저는 그 책을 처음부터 끝까지 읽었어요
1,나는 우리 집을 나무로 지었어
1,배로 제주에 갈 거야
1,저는 그것을 손으로 만들었어요
1,저는 그 문장을 한국어로 말했어요
1,저는 그것을 영어로 할 거예요
1,저는 아침식사로 밥을 먹었어요
1,저는 보통 점심식사로 과일만 먹었어요
1,저는 그것을 두 번째로 했어요
1,저는 학교에 두 번째로 왔어요
1,저는 그것을 첫 번째로 할 거예요
1,저는 집으로 갈 거예요
1,저는 집에 갈 거예요
1,저의 친구는 저 쪽으로 갔어요
1,학생들은 교실 쪽으로 걸어요
1,저는 집 안 쪽으로 달렸어요
1,저는 집 안에서 달렸어요
1,사실 
1,익숙하다 
1,우리는 밥과 빵을 팔아요
1,나는 사과와 바나나를 샀어
1,나는 인천이랑 서울에 갈 거야
1,형하고 아버지는 영화를 봤어
1,저는 약과 녹차만 샀어요
1,나는 사과와 바나나를 샀어
1,나는 친구와 갔어
1,저는 친구와 집에 갔어요
1,나는 아버지랑 공원에 갈 거야
1,선생님은 학생들과 박물관에 갔다
1,요즘에 사람들이 친구들이랑 매운 음식을 먹지 않아요
1,저는 밥을 친구랑 저의 어머니랑 먹었어요
1,우리는 빵을 같이 먹었어요
1,우리는 빵을 함께 먹었어요
1,우리는 집에 같이 들어갔어요
1,우리는 집에 함께 들어갔어요
1,우리는 음악을 같이 들었어요
1,우리는 음악을 함께 들었어요
1,저는 빵을 친구랑 같이 먹었어요
1,저는 빵을 친구와* 함께 먹었어요
1,저는 빵을 친구랑 먹었어요
1,저는 빵을 친구와 먹었어요
1,저는 녹차를 엄마랑 같이 마셨어요
1,저는 엄마랑 유명한 영화를 같이 봤어요
1,저는 선생님과 함께 공부했어요
1,저는 여자 친구와 함께 영화를 봤어요
1,나는 친구랑 같이 있어
1,저는 친구와 집에 함께 있어요
1,아버지는 아들에게 돈을 준다
1,나는 학생들한테 한국어를 가르쳤어
1,저는 부장님께 그 사실을 말할 거예요
1,나는 책을 교장선생님께 줬어
1,나는 나의 여자친구에게서 편지를 받았어
1,저는 교감선생님에게서 한국어를 배웠어요
1,저는 그것을 친구한테서 들었어요
1,나는 나의 여자친구로부터 편지를 받았어
1,저는 교감선생님으로부터 한국어를 배웠어요
1,저는 그것을 친구로부터 들었어요
1,저는 친구들로부터 사랑을 많이 받았어요
1,아버지로부터 선물이 왔어요
1,나는 돈을 정부로부터 받았어
1,이것을 하늘로부터 받았어요
1,나는 나의 여자 친구를 위해(서) 꽃을 샀어
1,나는 부장님을 위해(서) 이것을 썼어
1,저는 친구를 위해 빵을 만들었어요
1,아버지를 위해 시원한 물을 준비했어요
1,저는 회사를 위해 열심히 일할 거예요
1,나는 너에 대해 생각했어
1,나는 나의 아버지에 대해 말했어
1,나는 그것에 대해 책을 쓸 거야
1,그 회계사는 정부에 대해 나쁜 말을 했어요
1,냄새 (나다)
1,저는 
1,문이 바람에 닫혔어요
1,이 값은 
1,은 값에 포함된다
1,저는 저의 형을 
1,저는 숙제를 끝
1,잠기다 
1, 컴퓨터는 
1,닫히다 
1,이 값은 세금을 포함해요
1,세금은 포함돼요
1,저는 점심을 준비했어요
1,점심이 준비되었어요
1,회사는 기계를 대체했어
1,기계는 대체되었어
1,그것은 이해되었어
1,그것은 학생들에게 이해되었어
1,집은 청소되었어
1,집은 아버지에게 청소되었어
1,학생들은 그것을 이해했어요
1,아버지는 집을 청소했어요
1,저는 집을 청소기로 청소했어요
1,집은 청소기
1,세금은 포함돼요
1,세금은 값에 포함된다
1,저는 저의 형을 존경해요
1,저의 형은 존경 받아요
1,교장선생님은 선생님들에게 존경받아요
1,나는 너의 말에* 감동받았어
1,밥은 학교에 의해 제공된다
1,밥은 학교에 의해 제공되었다
1,문은 바람에 의해 닫혔어요
1,나는 너의 말에 감동받았어
1,저는 컴퓨터를 켰어요
1,컴퓨터가 켜져 있어요
1,저는 TV를 껐어요
1,TV가 꺼져 있어요
1,저는 문을 잠갔어요
1,문이 잠겨 있어요
1,저는 문을 닫았어요
1,문이 닫혔어요
1,문이 바람에 닫혔어요
1,문이 닫혀 있었어요
1,저는 문을 닫아요
1,문이 닫혀요
1,문이 닫혀 있어요
1,문이 닫힐 거예요
1,문이 닫혀 있을 거예요
1,나는 친구를 속였어
1,나는 친구에게 속았어
1,펜이 탁자에 놓여 있었어요
1,숙제는 끝났어요
1,컴퓨터는 고장 났어요
1,저는 숙제를 끝냈어요
1,저는 컴퓨터를 고장냈어요
1,아! 그것이* 기억났다!
1,좋은 생각이* 났어요!
1,그 가방에서 냄새가 났어요
1,그 방에서 냄새가 났어요
1,큰 일 났어요!
1,아! 그것이 기억났다!
1,땀이 났어요
1,땀이 났어요
1,땀이 나요
1,저는 그것이 기억 났어요
1,저는 그것이 기억 나요
1,나는 그때 기억이 안 났어
1,나는 그것이 기억 안 나
1,기회가 주어졌어요
1,그 집은 한국에서 지어졌어요
1,저의 아버지는 
1,나는 
1,속 
1,나는 
1,돌아오다 
1,저는 친구에게 책을 
1,결혼하다 
1,그림은 벽에 
1,나는 줄에 
1,서울부터 인천까지 두 시간 
1,우리 학교에서 식당까지 10분 
1,또 다르다
1,저는 좋은 김치를 먹었어요
1,김치가 좋아요
1,김치가 싫어요
1,학교가 좋아요
1,학교가 싫어요
1,맥주가 좋아요
1,맥주가 싫어요
1,김치가 좋아요
1,저는 좋은 김치를 먹었어요
1,김치는 좋아요
1,저는 한국이 좋아요
1,저는 그것이 기억나요!
1,저는 땀이 나요!
1,저는 화가 났어요
1,저는 그 그림이 마음에 들어요
1,저는 손을 들었어요
1,저는 가방을 들었어요
1,저는 그 그림이 마음에 들어요
1,저는 집에서 나갔어요
1,학생은 학교에서 나왔어요
1,저는 저의 모자를 가져갈 거예요
1,우리는 똑같아요
1,캐나다 사람들은 한국 사람들과 같아요
1,이 학교는 우리 학교와 똑같아요
1,우리 학교와 이 학교는 똑같아요
1,나는 같은 남자를 만났어
1,나는 (너의 남자친구와 비슷한 남자)를 만났어
1,저는 그와 달라요
1,또 다른 문제는 그것이 비싸요
1,나는 줄에 걸렸어
1,우리 학교에서 식당까지 10분 걸려요
1,역사적 
1,그들은 그 문제를 
1,저는 자주 옷을 
1,미국은 
1,그는 한국어를 
1,결과는 조금 
1,사랑(하다) 
1,사랑스럽다 
1,결과는 
1,그 여자의 머리 
1,근처 
1,조금 
1,한국은 지난 50년 동안 문화적으로 많이 변했어요
1,그것은 경제적으로 가능하지 않아요
1,한국과 미국은 역사적으로 좋은 관계가 있다
1,그들은 그 문제를 과학적으로 풀었다
1,저는 자주 옷을 충동적으로 사요
1,미국은 대통령을 민주적으로 선출해요
1,캐나다와 미국은 문화적인 차이가 있다
1,미국은 경제적인 결정을 했어요
1,저 학교는 역사적인 건물이에요
1,이것은 과학적인 문제예요
1,저는 너무 충동적이에요
1,미국은 민주적인 나라예요
1,미국은 민주적인 나라예요
1,북한에는 민주적 정부가 없습니다
1,경제적 문제가 있다
1,경제적인 문제가 있다
1,캐나다와 미국은 문화적 차이가 있다
1,캐나다와 미국은 문화적인 차이가 있다
1,나는 개인적 문제로 회사를 그만두었다
1,나는 개인적인 문제로 회사를 그만두었다
1,이 건물은 역사적 건물이다
1,이 건물은 역사적인 건물이다
1,그 여자가 아주 사랑스러워요
1,그 여자의 머리 색깔은 자연스러워
1,저는 실망했어요
1,우리 아버지는 어제 실망했어요
1,저는 친구에게 실망했어요 
1,우리 아버지는 저에게 실망했어요
1,저는 영화에 실망했어요
1,우리 아버지는 식당에 실망했어요
1,저는 실망했어요
1,우리 아버지는 어제 실망했어요
1,저는 친구에게 실망했어요
1,우리 아버지는 저에게 실망했어요
1,저는 영화에 실망했어요
1,우리 아버지는 식당에 실망했어요
1,결과는 조금 실망스러웠어요
1,그 영화는 조금 실망스러웠어요
1,저는 실망스러웠어요
1,저는 친구가 실망스러워요
1,저는 학생들이 실망스러웠어요
1,저는 그 영화가 실망스러웠어요
1,저는 실망했어요
1,저는 친구에게 실망했어요
1,저는 영화에 실망했어요
1,그 영화는 조금 실망스러웠어요
1,저는 그 영화가 실망스러웠어요
1,저는 실망스러웠어요
1,저는 만족해요
1,그는 만족해요
1,결과는 만족스러웠어요
1,저는 결과가 만족스러웠어요
1,저는 음식이 만족스러웠어요
1,저는 만족스러웠어요
1,저는 그 여자를 사랑해요
1,그 여자는 사랑스러워요
1,저는 저의 한국어 실력을 자랑했어요
1,저는 저의 딸이 아주 자랑스러워요
1,저는 학생들이 자랑스러워요
1,우리 딸은 사랑스러운 여자예요
1,그는 한국어를 자연스럽게 말해요
1,저는 그를 사랑스럽게 봤어요
1,그는 실망스럽게 행동했어요
1,저는 일을 만족스럽게 끝냈어요
1,무 
1,반갑다 
1,저는 밥을 먹고 갈 거예요
1,저는 자고 한국어를 공부했어요
1,저는 책을 읽고 바로 잤어요
1,저는 10분 동안 쉬고 갈 거예요
1,애기가 1분 동안 울고 배를 먹었어요
1,저는 당근을 칼로 자르고 냉장고에 넣었어요
1,우리는 서울에서 2일 동안 머무르고 부산에 갈 거예요
1,저는 숙제를 끝내고 나서 집으로 갈 거예요
1,저는 친구를 만나고 나서 은행에 갈 거예요
1,저는 과일도 좋아하고 야채도 좋아해요
1,저는 과일과 야채도 좋아해요
1,저는 밥을 먹고 갈 거예요
1,저는 자고 한국어를 공부했어요
1,저는 과일도 좋아하고 야채도 좋아해요
1,그 사람은 착하고 똑똑해요
1,저의 여자 친구는 귀엽고 예뻐요
1,오늘 고객이 많고 분위기가 좋아요
1,저는 열심히 공부했고 의사가 되었어요
1,저는 영어 문법을 열심히 공부했고 시험을 잘 봤어요
1,저는 방학 동안 영어 문법을 많이 공부했고 영어 신문도 많이 읽었어요
1,이 산은 높고 저 산은 낮아요
1,문법은 어렵고 단어는 쉬워요
1,이 사람은 부자이고 저 사람은 가난해요
1,이분은 저의 아버지이고 이분은 저의 어머니입니다
1,저는 당근을 칼로 잘라서 냉장고에 넣었어요
1,저는 당근을 칼로 잘라서 냉장고에 넣었어요
1,저는 당근을 칼로 자르고 냉장고에 넣었어요
1,저는 학교에 가서 공부할 거예요
1,우리는 집에 와서 바로 잤어요
1,우리는 맛있는 고기를 골라서 같이 먹었어요
1,문을 열어서 밖으로 나갔어요
1,혜원도 오고… 슬기도 오고… 승하도 오고… 지혜도 오고…
1,저는 누워서 책을 읽었어요
1,나는 앉아서 쉴 거야
1,저는 줄에 서서 순서를 기다렸어요
1,저는 한국어를 배우고 싶어요
1,저는 캐나다에 가고 싶어요
1,저는 여자친구를 위해 편지를 쓰고 싶어요
1,저는 새로운 차를 사고 싶어요
1,저는 내일 쉬고 싶어요
1,저는 저의 친구를 파티에 초대하고 싶어요
1,저는 방학 동안 책 두 권을 읽고 싶어요
1,저는 선생님이 되고 싶어요
1,저는 선생님이 되고 싶었어요
1,그 여자는 나랑* 결혼하고 싶었어
1,저는 친구를 보고 싶어요
1,저는 그 책을 원해요
1,저는 그 책을 읽고 싶어요
1,저는 술을 안 마시고 싶어요
1,저는 울고 싶지 않아요
1,나는 너를 파티에 초대하고 싶지 않아
1,저는 부자가 되고 싶지 않아요
1,방학 동안 저는 학교에 있고 싶지 않아요
1,계산기 
1,중학교 
1,새벽 
1,안타깝다 
1,나는 음악을 듣고 있어
1,저의 아버지는 자고 있어요
1,여자들은 지금 영화를 보고 있어요
1,저는 사과를 자르고 있어요
1,저는 청구서를 지금 내고 있어요
1,저는 밥을 먹고 있었어요
1,학생들은 수업 시간 동안 자고 있었어요
1,저는 밥을 먹고 있었어요
1,학생들은 자고 있었어요
1,저는 밥을 먹었어요
1,학생들은 잤어요
1,저는 백화점에서 쇼핑하고 있었어요
1,대학생은 책상에서 공부를 하고 있었어요
1,나는 다음 주에 시험 공부를 하고 있을 거야
1,저는 한국에서 살고 있어요
1,저는 한국에서 살아요
1,저는 한국에 살고 있어요
1,저는 한국에 살아요
1,나는 그것을 알고 있어
1,나는 그것을 알아
1,집에 빨리 와!
1,우리는 내일 6시에 출발 할 거야
1,이 일을 내일까지 해야 합니다
1,"네, 알겠습니다"
1,나는 펜을 가지고 있어
1,나는 여자 친구가 있어
1,나는 앉아 있어
1,나는 학교 옆에 서 있어
1,나는 침대에 누워 있어
1,컴퓨터가 켜져 있어요
1,TV가 꺼져 있어요
1,문이 잠겨 있어요
1,저는 한국에서 살고 있어요
1,그 돼지는 살아 있어요
1,그 소는 살아 있지 않아요
1,날씨가 매일 밤에 추워져요
1,날씨는 주말에 추워졌어
1,기름 값은 비싸졌어요
1,그 사람은 밥을 먹고 나서 행복해졌어요
1,우리 강아지는 지난 1년 동안 많이 커졌어요
1,저는 군대에 갔고 똑똑해졌어요
1,대학교 수업은 내년에 어려워질 거예요
1,저의 여자 친구는 예뻐지고 있어요
1,집 값은 비싸지고 있어
1,피부가 부드러워지고 있어요
1,나는 행복해지고 싶어
1,나는 예뻐지고 싶어
1,한식은 
1,저는 밥을 더 먹고 싶어요
1,나는 내일 사람 두 명을 
1,나는 내일 어제보다 사람 두 명을 
1,오늘은 어제보다 
1,나는 남동생보다 덜 잘생겼어
1,한국에서 대학교는 고등학교보다 
1,나는 그 여자를 
1,나는 수학을 
